Time [min.]:	UV [A.U.]:	Conductivity [mS/cm]:			
5.283	0.2900	1.71			
5.300	0.2952	1.73			
5.317	0.3008	1.73			
5.333	0.3061	1.71			
5.350	0.3118	1.73			
5.367	0.3171	1.71			
5.383	0.3221	1.71			
5.400	0.3268	1.71			
5.417	0.3313	1.73			
5.433	0.3350	1.73			
5.450	0.3380	1.71			
5.467	0.3406	1.71			
5.483	0.3430	1.71			
5.500	0.3448	1.71			
5.517	0.3461	1.71			
5.533	0.3469	1.71			
5.550	0.3476	1.73			
5.567	0.3475	1.71			
5.583	0.3463	1.73			
5.600	0.3448	1.71			
5.617	0.3430	1.71			
5.633	0.3409	1.71			
5.650	0.3379	1.73			
5.667	0.3342	1.71			
5.683	0.3302	1.71			
5.700	0.3260	1.71			
5.717	0.3214	1.71			
5.733	0.3166	1.73			
5.750	0.3118	1.71			
5.767	0.3067	1.73			
5.783	0.3013	1.71			
5.800	0.2957	1.73			
5.817	0.2900	1.71			
5.833	0.2844	1.71			
5.850	0.2786	1.69			
5.867	0.2730	1.73			
5.883	0.2674	1.71			
5.900	0.2618	1.71			
5.917	0.2564	1.71			
5.933	0.2510	1.73			
5.950	0.2458	1.71			
5.967	0.2404	1.71			
5.983	0.2353	1.71			
6.000	0.2304	1.71			
6.017	0.2255	1.71			
6.033	0.2205	1.73			
6.050	0.2156	1.71			
6.067	0.2110	1.71			
6.083	0.2064	1.71			
6.100	0.2020	1.71			
6.117	0.1974	1.73			
6.133	0.1934	1.73			
6.150	0.1897	1.73			
6.167	0.1860	1.71			
6.183	0.1822	1.71			
6.200	0.1782	1.69			
6.217	0.1746	1.71			
6.233	0.1711	1.71			
6.250	0.1680	1.71			
6.267	0.1652	1.71			
6.283	0.1629	1.71			
6.300	0.1608	1.71			
6.317	0.1586	1.71			
6.333	0.1563	1.71			
6.350	0.1537	1.71			
6.367	0.1512	1.71			
6.383	0.1489	1.71			
6.400	0.1471	1.73			
6.417	0.1453	1.71			
6.433	0.1437	1.73			
6.450	0.1414	1.71			
6.467	0.1394	1.71			
6.483	0.1380	1.69			
6.500	0.1366	1.71			
6.517	0.1349	1.73			
6.533	0.1341	1.71			
6.550	0.1337	1.73			
6.567	0.1327	1.71			
6.583	0.1315	1.71			
6.600	0.1306	1.73			
6.617	0.1298	1.71			
6.633	0.1291	1.71			
6.650	0.1287	1.71			
6.667	0.1284	1.73			
6.683	0.1281	1.71			
6.700	0.1276	1.73			
6.717	0.1270	1.71			
6.733	0.1265	1.73			
6.750	0.1261	1.71			
6.767	0.1257	1.71			
6.783	0.1252	1.71			
6.800	0.1246	1.71			
6.817	0.1240	1.71			
6.833	0.1233	1.71			
6.850	0.1224	1.71			
6.867	0.1212	1.71			
6.883	0.1202	1.71			
6.900	0.1192	1.73			
6.917	0.1183	1.71			
6.933	0.1173	1.71			
6.950	0.1163	1.73			
6.967	0.1153	1.71			
6.983	0.1143	1.73			
7.000	0.1135	1.71			
7.017	0.1125	1.71			
7.033	0.1113	1.71			
7.050	0.1104	1.73			
7.067	0.1094	1.71			
7.083	0.1084	1.73			
7.100	0.1073	1.71			
7.117	0.1062	1.71			
7.133	0.1053	1.71			
7.150	0.1044	1.73			
7.167	0.1035	1.71			
7.183	0.1024	1.73			
7.200	0.1014	1.73			
7.217	0.1004	1.71			
7.233	0.0995	1.73			
7.250	0.0986	1.71			
7.267	0.0977	1.71			
7.283	0.0969	1.71			
7.300	0.0962	1.71			
7.317	0.0954	1.71			
7.333	0.0945	1.71			
7.350	0.0938	1.69			
7.367	0.0932	1.71			
7.383	0.0927	1.71			
7.400	0.0924	1.71			
7.417	0.0922	1.73			
7.433	0.0920	1.71			
7.450	0.0916	1.73			
7.467	0.0912	1.71			
7.483	0.0909	1.71			
7.500	0.0907	1.71			
7.517	0.0906	1.73			
7.533	0.0904	1.71			
7.550	0.0902	1.71			
7.567	0.0899	1.73			
7.583	0.0896	1.71			
7.600	0.0895	1.73			
7.617	0.0895	1.71			
7.633	0.0894	1.71			
7.650	0.0892	1.71			
7.667	0.0888	1.73			
7.683	0.0884	1.71			
7.700	0.0881	1.73			
7.717	0.0877	1.71			
7.733	0.0872	1.71			
7.750	0.0867	1.73			
7.767	0.0863	1.71			
7.783	0.0858	1.73			
7.800	0.0853	1.71			
7.817	0.0847	1.71			
7.833	0.0842	1.71			
7.850	0.0837	1.71			
7.867	0.0831	1.71			
7.883	0.0824	1.71			
7.900	0.0819	1.71			
7.917	0.0814	1.71			
7.933	0.0809	1.73			
7.950	0.0802	1.71			
7.967	0.0796	1.73			
7.983	0.0791	1.73			
8.000	0.0786	1.71			
8.017	0.0781	1.73			
8.033	0.0777	1.71			
8.050	0.0771	1.71			
8.067	0.0766	1.71			
8.083	0.0761	1.73			
8.100	0.0757	1.71			
8.117	0.0753	1.71			
8.133	0.0750	1.71			
8.150	0.0745	1.71			
8.167	0.0740	1.73			
8.183	0.0735	1.71			
8.200	0.0732	1.71			
8.217	0.0729	1.71			
8.233	0.0726	1.71			
8.250	0.0723	1.71			
8.267	0.0719	1.73			
8.283	0.0714	1.71			
8.300	0.0709	1.71			
8.317	0.0705	1.71			
8.333	0.0701	1.71			
8.350	0.0697	1.73			
8.367	0.0692	1.71			
8.383	0.0686	1.73			
8.400	0.0683	1.71			
8.417	0.0680	1.73			
8.433	0.0675	1.71			
8.450	0.0669	1.70			
8.467	0.0663	1.73			
8.483	0.0658	1.71			
8.500	0.0653	1.73			
8.517	0.0648	1.71			
8.533	0.0643	1.71			
8.550	0.0638	1.71			
8.567	0.0634	1.71			
8.583	0.0629	1.73			
8.600	0.0624	1.71			
8.617	0.0619	1.73			
8.633	0.0614	1.71			
8.650	0.0609	1.71			
8.667	0.0605	1.73			
8.683	0.0601	1.71			
8.700	0.0597	1.73			
8.717	0.0592	1.71			
8.733	0.0588	1.73			
8.750	0.0584	1.71			
8.767	0.0581	1.73			
8.783	0.0576	1.71			
8.800	0.0572	1.73			
8.817	0.0568	1.73			
8.833	0.0565	1.70			
8.850	0.0560	1.71			
8.867	0.0554	1.71			
8.883	0.0550	1.71			
8.900	0.0545	1.73			
8.917	0.0540	1.71			
8.933	0.0535	1.71			
8.950	0.0530	1.71			
8.967	0.0524	1.71			
8.983	0.0520	1.71			
9.000	0.0517	1.73			
9.017	0.0514	1.71			
9.033	0.0511	1.71			
9.050	0.0507	1.73			
9.067	0.0503	1.71			
9.083	0.0499	1.71			
9.100	0.0496	1.71			
9.117	0.0491	1.71			
9.133	0.0486	1.71			
9.150	0.0482	1.73			
9.167	0.0479	1.71			
9.183	0.0475	1.73			
9.200	0.0470	1.71			
9.217	0.0467	1.71			
9.233	0.0464	1.73			
9.250	0.0460	1.71			
9.267	0.0456	1.73			
9.283	0.0453	1.71			
9.300	0.0450	1.73			
9.317	0.0447	1.71			
9.333	0.0444	1.71			
9.350	0.0441	1.71			
9.367	0.0439	1.73			
9.383	0.0436	1.73			
9.400	0.0432	1.70			
9.417	0.0428	1.71			
9.433	0.0425	1.71			
9.450	0.0422	1.71			
9.467	0.0418	1.71			
9.483	0.0414	1.71			
9.500	0.0411	1.73			
9.517	0.0407	1.71			
9.533	0.0403	1.71			
9.550	0.0399	1.71			
9.567	0.0396	1.73			
9.583	0.0392	1.71			
9.600	0.0388	1.73			
9.617	0.0385	1.71			
9.633	0.0382	1.71			
9.650	0.0379	1.71			
9.667	0.0376	1.71			
9.683	0.0373	1.71			
9.700	0.0371	1.71			
9.717	0.0369	1.73			
9.733	0.0366	1.73			
9.750	0.0362	1.71			
9.767	0.0360	1.71			
9.783	0.0358	1.71			
9.800	0.0356	1.73			
9.817	0.0355	1.71			
9.833	0.0353	1.73			
9.850	0.0351	1.71			
9.867	0.0349	1.73			
9.883	0.0347	1.73			
9.900	0.0346	1.71			
