Time [min.]:	UV [A.U.]:	Conductivity [mS/cm]:			
5.483	0.1277	1.71			
5.500	0.1267	1.73			
5.517	0.1259	1.71			
5.533	0.1251	1.73			
5.550	0.1242	1.71			
5.567	0.1237	1.71			
5.583	0.1231	1.71			
5.600	0.1225	1.71			
5.617	0.1221	1.71			
5.633	0.1218	1.73			
5.650	0.1214	1.71			
5.667	0.1212	1.71			
5.683	0.1211	1.71			
5.700	0.1209	1.73			
5.717	0.1208	1.71			
5.733	0.1207	1.73			
5.750	0.1208	1.73			
5.767	0.1209	1.73			
5.783	0.1209	1.71			
5.800	0.1211	1.73			
5.817	0.1212	1.73			
5.833	0.1214	1.71			
5.850	0.1218	1.73			
5.867	0.1221	1.71			
5.883	0.1225	1.71			
5.900	0.1229	1.71			
5.917	0.1233	1.71			
5.933	0.1238	1.73			
5.950	0.1243	1.71			
5.967	0.1248	1.73			
5.983	0.1253	1.71			
6.000	0.1260	1.71			
6.017	0.1266	1.71			
6.033	0.1273	1.71			
6.050	0.1280	1.71			
6.067	0.1286	1.71			
6.083	0.1293	1.73			
6.100	0.1301	1.71			
6.117	0.1307	1.71			
6.133	0.1314	1.71			
6.150	0.1321	1.73			
6.167	0.1329	1.71			
6.183	0.1337	1.73			
6.200	0.1345	1.73			
6.217	0.1353	1.71			
6.233	0.1360	1.71			
6.250	0.1367	1.73			
6.267	0.1372	1.71			
6.283	0.1379	1.73			
6.300	0.1388	1.73			
6.317	0.1394	1.71			
6.333	0.1402	1.73			
6.350	0.1410	1.71			
6.367	0.1417	1.73			
6.383	0.1423	1.71			
6.400	0.1431	1.71			
6.417	0.1438	1.73			
6.433	0.1446	1.71			
6.450	0.1453	1.71			
6.467	0.1459	1.71			
6.483	0.1465	1.73			
6.500	0.1474	1.71			
6.517	0.1481	1.73			
6.533	0.1489	1.73			
6.550	0.1498	1.71			
6.567	0.1505	1.71			
6.583	0.1514	1.73			
6.600	0.1522	1.71			
6.617	0.1530	1.71			
6.633	0.1538	1.73			
6.650	0.1546	1.71			
