Time [min.]:	UV [A.U.]:	Conductivity [mS/cm]:			
6.683	0.0285	1.78			
6.700	0.0286	1.78			
6.717	0.0286	1.78			
6.733	0.0288	1.78			
6.750	0.0288	1.78			
6.767	0.0288	1.76			
6.783	0.0287	1.78			
6.800	0.0286	1.76			
6.817	0.0286	1.78			
6.833	0.0286	1.78			
6.850	0.0285	1.78			
6.867	0.0285	1.78			
6.883	0.0284	1.78			
6.900	0.0283	1.80			
6.917	0.0282	1.78			
6.933	0.0281	1.80			
6.950	0.0280	1.78			
6.967	0.0279	1.78			
6.983	0.0277	1.78			
7.000	0.0276	1.78			
7.017	0.0275	1.78			
7.033	0.0273	1.78			
7.050	0.0271	1.78			
7.067	0.0270	1.78			
7.083	0.0268	1.78			
7.100	0.0267	1.80			
7.117	0.0265	1.78			
7.133	0.0265	1.80			
7.150	0.0263	1.78			
7.167	0.0262	1.76			
7.183	0.0260	1.78			
7.200	0.0259	1.78			
7.217	0.0258	1.80			
7.233	0.0258	1.80			
7.250	0.0258	1.78			
7.267	0.0259	1.78			
7.283	0.0259	1.78			
7.300	0.0260	1.80			
7.317	0.0260	1.78			
7.333	0.0259	1.78			
7.350	0.0257	1.80			
7.367	0.0257	1.78			
7.383	0.0257	1.78			
7.400	0.0258	1.80			
7.417	0.0258	1.78			
7.433	0.0258	1.78			
7.450	0.0259	1.80			
7.467	0.0260	1.80			
7.483	0.0260	1.78			
7.500	0.0261	1.78			
7.517	0.0262	1.78			
7.533	0.0263	1.80			
7.550	0.0264	1.78			
7.567	0.0265	1.80			
7.583	0.0266	1.78			
7.600	0.0266	1.78			
7.617	0.0267	1.80			
7.633	0.0268	1.78			
7.650	0.0269	1.78			
7.667	0.0270	1.78			
7.683	0.0271	1.80			
7.700	0.0271	1.80			
7.717	0.0271	1.78			
7.733	0.0271	1.78			
7.750	0.0271	1.80			
7.767	0.0271	1.78			
7.783	0.0272	1.78			
7.800	0.0273	1.78			
7.817	0.0276	1.78			
7.833	0.0277	1.78			
7.850	0.0275	1.80			
7.867	0.0273	1.78			
7.883	0.0270	1.80			
7.900	0.0270	1.80			
7.917	0.0268	1.78			
7.933	0.0267	1.80			
7.950	0.0266	1.78			
7.967	0.0266	1.80			
7.983	0.0266	1.78			
8.000	0.0267	1.80			
8.017	0.0268	1.78			
8.033	0.0270	1.80			
8.050	0.0271	1.78			
8.067	0.0272	1.78			
8.083	0.0275	1.78			
8.100	0.0277	1.80			
8.117	0.0279	1.80			
8.133	0.0283	1.78			
8.150	0.0284	1.80			
8.167	0.0284	1.80			
8.183	0.0289	1.78			
8.200	0.0292	1.78			
8.217	0.0297	1.78			
8.233	0.0296	1.80			
8.250	0.0295	1.78			
8.267	0.0296	1.80			
8.283	0.0297	1.80			
8.300	0.0297	1.78			
8.317	0.0297	1.80			
8.333	0.0298	1.78			
8.350	0.0299	1.78			
8.367	0.0299	1.80			
8.383	0.0300	1.80			
8.400	0.0300	1.80			
8.417	0.0301	1.80			
8.433	0.0301	1.78			
8.450	0.0302	1.80			
8.467	0.0302	1.78			
8.483	0.0303	1.80			
8.500	0.0303	1.78			
8.517	0.0306	1.78			
8.533	0.0310	1.78			
8.550	0.0311	1.78			
8.567	0.0309	1.80			
8.583	0.0311	1.78			
8.600	0.0312	1.80			
8.617	0.0313	1.78			
8.633	0.0314	1.78			
8.650	0.0314	1.78			
8.667	0.0313	1.78			
8.683	0.0313	1.78			
8.700	0.0312	1.78			
8.717	0.0312	1.80			
8.733	0.0312	1.78			
8.750	0.0313	1.78			
8.767	0.0313	1.78			
8.783	0.0313	1.78			
8.800	0.0314	1.80			
8.817	0.0314	1.78			
8.833	0.0315	1.78			
8.850	0.0316	1.78			
8.867	0.0317	1.78			
8.883	0.0317	1.78			
8.900	0.0318	1.78			
8.917	0.0318	1.78			
8.933	0.0319	1.80			
8.950	0.0320	1.78			
8.967	0.0321	1.78			
8.983	0.0319	1.80			
9.000	0.0320	1.80			
9.017	0.0320	1.78			
9.033	0.0320	1.78			
9.050	0.0320	1.78			
9.067	0.0321	1.78			
9.083	0.0321	1.80			
9.100	0.0322	1.78			
9.117	0.0323	1.78			
9.133	0.0325	1.78			
9.150	0.0326	1.80			
9.167	0.0328	1.80			
9.183	0.0330	1.78			
9.200	0.0332	1.80			
9.217	0.0333	1.78			
9.233	0.0335	1.78			
9.250	0.0336	1.78			
9.267	0.0335	1.78			
9.283	0.0336	1.78			
9.300	0.0337	1.78			
9.317	0.0337	1.78			
9.333	0.0337	1.78			
9.350	0.0337	1.78			
9.367	0.0338	1.78			
9.383	0.0339	1.78			
9.400	0.0339	1.80			
9.417	0.0340	1.80			
9.433	0.0341	1.79			
9.450	0.0343	1.78			
9.467	0.0344	1.79			
9.483	0.0346	1.80			
9.500	0.0347	1.79			
9.517	0.0348	1.80			
9.533	0.0349	1.79			
9.550	0.0351	1.78			
9.567	0.0352	1.79			
9.583	0.0352	1.79			
9.600	0.0353	1.80			
9.617	0.0354	1.79			
9.633	0.0356	1.80			
9.650	0.0357	1.79			
9.667	0.0357	1.80			
9.683	0.0356	1.79			
9.700	0.0355	1.80			
9.717	0.0354	1.79			
9.733	0.0352	1.80			
9.750	0.0351	1.80			
9.767	0.0351	1.79			
9.783	0.0351	1.79			
9.800	0.0351	1.80			
9.817	0.0352	1.79			
9.833	0.0353	1.79			
9.850	0.0353	1.80			
9.867	0.0353	1.79			
9.883	0.0353	1.80			
9.900	0.0353	1.79			
9.917	0.0353	1.79			
9.933	0.0354	1.80			
9.950	0.0355	1.77			
9.967	0.0357	1.79			
9.983	0.0357	1.80			
10.000	0.0358	1.79			
10.017	0.0358	1.80			
10.033	0.0357	1.79			
10.050	0.0357	1.79			
10.067	0.0358	1.79			
10.083	0.0359	1.79			
