Time [min.]:	UV [A.U.]:	Conductivity [mS/cm]:			
10.200	0.1005	1.76			
10.217	0.1014	1.76			
10.233	0.1024	1.78			
10.250	0.1033	1.76			
10.267	0.1043	1.78			
10.283	0.1050	1.76			
10.300	0.1056	1.76			
10.317	0.1061	1.76			
10.333	0.1066	1.78			
10.350	0.1070	1.76			
10.367	0.1074	1.78			
10.383	0.1079	1.78			
10.400	0.1086	1.78			
10.417	0.1094	1.78			
10.433	0.1102	1.76			
10.450	0.1110	1.76			
10.467	0.1116	1.76			
10.483	0.1121	1.78			
10.500	0.1125	1.76			
10.517	0.1129	1.78			
10.533	0.1132	1.76			
10.550	0.1134	1.78			
10.567	0.1136	1.76			
10.583	0.1139	1.76			
10.600	0.1143	1.78			
10.617	0.1148	1.76			
10.633	0.1155	1.78			
10.650	0.1164	1.76			
10.667	0.1175	1.78			
10.683	0.1190	1.78			
10.700	0.1212	1.76			
10.717	0.1237	1.76			
10.733	0.1265	1.78			
10.750	0.1290	1.78			
10.767	0.1306	1.76			
10.783	0.1317	1.78			
10.800	0.1323	1.76			
10.817	0.1323	1.78			
10.833	0.1318	1.76			
10.850	0.1311	1.76			
10.867	0.1305	1.76			
10.883	0.1304	1.76			
10.900	0.1309	1.76			
10.917	0.1319	1.76			
10.933	0.1324	1.78			
10.950	0.1313	1.76			
10.967	0.1293	1.78			
10.983	0.1286	1.76			
11.000	0.1289	1.76			
11.017	0.1271	1.76			
11.033	0.1238	1.76			
11.050	0.1215	1.78			
